tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes
tt0378194,movie,Kill Bill: Vol. 2,2004,"Action,Crime,Thriller",8.0,833396
tt0317248,movie,City of God,2002,"Crime,Drama",8.6,832206
tt0093058,movie,Full Metal Jacket,1987,"Drama,War",8.2,816644
tt0211915,movie,Amélie,2001,"Comedy,Romance",8.3,814842
tt2543164,movie,Arrival,2016,"Drama,Mystery,Sci-Fi",7.9,810361
tt0090605,movie,Aliens,1986,"Action,Adventure,Horror",8.4,804232
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy",7.4,792737
tt3896198,movie,Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,788990
tt1285016,movie,The Social Network,2010,"Biography,Drama",7.8,785867
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,2002,"Action,Adventure,Fantasy",6.6,783725
tt2911666,movie,John Wick,2014,"Action,Crime,Thriller",7.5,773787
tt0144084,movie,American Psycho,2000,"Crime,Drama,Horror",7.6,770823
tt2975590,movie,Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",6.5,768750
tt1631867,movie,Edge of Tomorrow,2014,"Action,Adventure,Sci-Fi",7.9,767580
tt0126029,movie,Shrek,2001,"Adventure,Animation,Comedy",7.9,767192
tt1877832,movie,X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",7.9,766924
tt1745960,movie,Top Gun: Maverick,2022,"Action,Drama",8.2,762670
tt2024544,movie,12 Years a Slave,2013,"Biography,Drama,History",8.1,761176
tt1045658,movie,Silver Linings Playbook,2012,"Comedy,Drama,Romance",7.7,757379
tt5052448,movie,Get Out,2017,"Horror,Mystery,Thriller",7.8,752049
tt2250912,movie,Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",7.4,751729
tt0816711,movie,World War Z,2013,"Action,Adventure,Horror",7.0,748510
tt1074638,movie,Skyfall,2012,"Action,Adventure,Thriller",7.8,747933
tt2802144,movie,Kingsman: The Secret Service,2014,"Action,Adventure,Comedy",7.7,747869
tt1981115,movie,Thor: The Dark World,2013,"Action,Adventure,Fantasy",6.7,747715
tt0478970,movie,Ant-Man,2015,"Action,Comedy,Sci-Fi",7.2,746128
tt0117951,movie,Trainspotting,1996,Drama,8.1,746041
tt1270798,movie,X-Men: First Class,2011,"Action,Sci-Fi",7.7,743611
tt1951264,movie,The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",7.5,743311
tt0316654,movie,Spider-Man 2,2004,"Action,Adventure,Sci-Fi",7.5,740711
tt1136608,movie,District 9,2009,"Action,Sci-Fi,Thriller",7.9,732950
tt1670345,movie,Now You See Me,2013,"Crime,Mystery,Thriller",7.2,732734
tt1170358,movie,The Hobbit: The Desolation of Smaug,2013,"Adventure,Fantasy",7.8,728540
tt0948470,movie,The Amazing Spider-Man,2012,"Action,Sci-Fi",6.9,728314
tt0295297,movie,Harry Potter and the Chamber of Secrets,2002,"Adventure,Family,Fantasy",7.4,724218
tt0304141,movie,Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,724145
tt0457430,movie,Pan's Labyrinth,2006,"Drama,Fantasy,War",8.2,721561
tt4633694,movie,Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation",8.4,721455
tt8579674,movie,1917,2019,"Action,Drama,War",8.2,720609
tt1504320,movie,The King's Speech,2010,"Biography,Drama,History",8.0,719649
tt0421715,movie,The Curious Case of Benjamin Button,2008,"Drama,Fantasy,Romance",7.8,718067
tt0451279,movie,Wonder Woman,2017,"Action,Adventure,Fantasy",7.3,716222
tt0449088,movie,Pirates of the Caribbean: At World's End,2007,"Action,Adventure,Fantasy",7.1,715370
tt3783958,movie,La La Land,2016,"Comedy,Drama,Music",8.0,712841
tt0330373,movie,Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy",7.7,712544
tt0107048,movie,Groundhog Day,1993,"Comedy,Drama,Fantasy",8.0,712334
tt3748528,movie,Rogue One: A Star Wars Story,2016,"Action,Adventure,Sci-Fi",7.8,709525
tt1856101,movie,Blade Runner 2049,2017,"Action,Drama,Mystery",8.0,707288
tt5463162,movie,Deadpool 2,2018,"Action,Adventure,Comedy",7.6,706862
tt0369610,movie,Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9,698567
tt0418279,movie,Transformers,2007,"Action,Adventure,Sci-Fi",7.1,693987
tt0099785,movie,Home Alone,1990,"Comedy,Family",7.7,692186
tt2527336,movie,Star Wars: Episode VIII - The Last Jedi,2017,"Action,Adventure,Fantasy",6.9,691295
tt3460252,movie,The Hateful Eight,2015,"Crime,Drama,Mystery",7.8,687031
tt0454876,movie,Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,682551
tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy,Drama",7.7,680203
tt0758758,movie,Into the Wild,2007,"Adventure,Biography,Drama",8.1,676065
tt0364569,movie,Oldboy,2003,"Action,Drama,Mystery",8.3,672734
tt0120903,movie,X-Men,2000,"Action,Adventure,Sci-Fi",7.3,670132
tt0440963,movie,The Bourne Ultimatum,2007,"Action,Mystery,Thriller",8.0,669521
tt0469494,movie,There Will Be Blood,2007,Drama,8.2,666010
tt0413300,movie,Spider-Man 3,2007,"Action,Adventure,Sci-Fi",6.3,663862
tt0373889,movie,Harry Potter and the Order of the Phoenix,2007,"Action,Adventure,Family",7.5,661829
tt0114746,movie,12 Monkeys,1995,"Mystery,Sci-Fi,Thriller",8.0,661763
tt0162222,movie,Cast Away,2000,"Adventure,Drama,Romance",7.8,661653
tt0829482,movie,Superbad,2007,Comedy,7.6,659106
tt0332280,movie,The Notebook,2004,"Drama,Romance",7.8,650953
tt0234215,movie,The Matrix Reloaded,2003,"Action,Sci-Fi",7.2,649064
tt3890160,movie,Baby Driver,2017,"Action,Crime,Drama",7.5,645055
tt1156398,movie,Zombieland,2009,"Action,Comedy,Horror",7.5,642010
tt0120363,movie,Toy Story 2,1999,"Adventure,Animation,Comedy",7.9,641322
tt0119488,movie,L.A. Confidential,1997,"Crime,Drama,Mystery",8.2,637856
tt0119654,movie,Men in Black,1997,"Action,Adventure,Comedy",7.3,635453
tt4154664,movie,Captain Marvel,2019,"Action,Adventure,Sci-Fi",6.8,633020
tt2872718,movie,Nightcrawler,2014,"Crime,Drama,Thriller",7.8,632586
tt0120735,movie,"Lock, Stock and Two Smoking Barrels",1998,"Comedy,Crime",8.1,632394
tt2119532,movie,Hacksaw Ridge,2016,"Biography,Drama,History",8.1,630791
tt0443706,movie,Zodiac,2007,"Crime,Drama,Mystery",7.7,630661
tt0796366,movie,Star Trek,2009,"Action,Adventure,Sci-Fi",7.9,628290
tt1219289,movie,Limitless,2011,"Sci-Fi,Thriller",7.4,627101
tt6966692,movie,Green Book,2018,"Biography,Comedy,Drama",8.2,627016
tt0926084,movie,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure,Family,Fantasy",7.7,626599
tt6723592,movie,Tenet,2020,"Action,Sci-Fi,Thriller",7.3,625175
tt0417741,movie,Harry Potter and the Half-Blood Prince,2009,"Action,Adventure,Family",7.6,623529
tt1232829,movie,21 Jump Street,2012,"Action,Comedy,Crime",7.2,619388
tt1727824,movie,Bohemian Rhapsody,2018,"Biography,Drama,Music",7.9,619103
tt0365748,movie,Shaun of the Dead,2004,"Comedy,Horror",7.9,616096
tt1276104,movie,Looper,2012,"Action,Drama,Sci-Fi",7.4,615280
tt0470752,movie,Ex Machina,2014,"Drama,Sci-Fi,Thriller",7.7,614071
tt15239678,movie,Dune: Part Two,2024,"Action,Adventure,Drama",8.5,612176
tt1250777,movie,Kick-Ass,2010,"Action,Comedy,Crime",7.6,607275
tt1323594,movie,Despicable Me,2010,"Adventure,Animation,Comedy",7.6,606535
tt0450259,movie,Blood Diamond,2006,"Adventure,Drama,Thriller",8.0,604277
tt0181689,movie,Minority Report,2002,"Action,Crime,Mystery",7.6,599828
tt1517268,movie,Barbie,2023,"Adventure,Comedy,Fantasy",6.8,599466
tt0409459,movie,Watchmen,2009,"Action,Drama,Mystery",7.6,595938
tt0290334,movie,X2: X-Men United,2003,"Action,Sci-Fi,Thriller",7.4,594999
tt0096874,movie,Back to the Future Part II,1989,"Adventure,Comedy,Sci-Fi",7.8,594335
tt0343818,movie,"I, Robot",2004,"Action,Mystery,Sci-Fi",7.1,593684
tt2310332,movie,The Hobbit: The Battle of the Five Armies,2014,"Adventure,Fantasy",7.4,593524
tt0258463,movie,The Bourne Identity,2002,"Action,Mystery,Thriller",7.8,592252
tt1318514,movie,Rise of the Planet of the Apes,2011,"Action,Drama,Sci-Fi",7.6,590804
tt6320628,movie,Spider-Man: Far from Home,2019,"Action,Adventure,Comedy",7.4,590584
tt0332452,movie,Troy,2004,"Action,Adventure,Drama",7.3,589822
tt1570728,movie,"Crazy, Stupid, Love.",2011,"Comedy,Drama,Romance",7.4,588440
tt0112641,movie,Casino,1995,"Crime,Drama",8.2,587772
tt0454921,movie,The Pursuit of Happyness,2006,"Biography,Drama",8.0,587233
tt1022603,movie,500 Days of Summer,2009,"Comedy,Drama,Romance",7.7,585720
tt0097165,movie,Dead Poets Society,1989,"Comedy,Drama",8.1,585040
tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy",6.6,582993
tt1457767,movie,The Conjuring,2013,"Horror,Mystery,Thriller",7.5,580405
tt5027774,movie,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy,Crime,Drama",8.1,578674
tt10811166,movie,The Kashmir Files,2022,Drama,8.5,576017
tt6710474,movie,Everything Everywhere All at Once,2022,"Action,Adventure,Comedy",7.8,574892
tt2948356,movie,Zootopia,2016,"Action,Adventure,Animation",8.0,574853
tt1659337,movie,The Perks of Being a Wallflower,2012,Drama,7.9,567630
tt0945513,movie,Source Code,2011,"Action,Drama,Mystery",7.5,565152
tt0095953,movie,Rain Man,1988,Drama,8.0,561793
tt1872181,movie,The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",6.6,559640
tt0242653,movie,The Matrix Revolutions,2003,"Action,Sci-Fi",6.7,558741
tt0376994,movie,X-Men: The Last Stand,2006,"Action,Adventure,Sci-Fi",6.6,557416
tt0314331,movie,Love Actually,2003,"Comedy,Drama,Romance",7.6,557056
tt1411697,movie,The Hangover Part II,2011,Comedy,6.5,553000
tt0458525,movie,X-Men Origins: Wolverine,2009,"Action,Sci-Fi",6.5,552225
tt0087469,movie,Indiana Jones and the Temple of Doom,1984,"Action,Adventure",7.5,549650
tt0425112,movie,Hot Fuzz,2007,"Action,Comedy,Mystery",7.8,549649
tt0367594,movie,Charlie and the Chocolate Factory,2005,"Adventure,Comedy,Family",6.7,548047
tt2179136,movie,American Sniper,2014,"Action,Biography,Drama",7.3,547442
tt0441773,movie,Kung Fu Panda,2008,"Action,Adventure,Animation",7.6,546875
tt0206634,movie,Children of Men,2006,"Drama,Sci-Fi,Thriller",7.9,545277
tt0099487,movie,Edward Scissorhands,1990,"Drama,Fantasy,Romance",7.9,543815
tt1663662,movie,Pacific Rim,2013,"Action,Adventure,Sci-Fi",6.9,543347
tt1229238,movie,Mission: Impossible - Ghost Protocol,2011,"Action,Adventure,Thriller",7.4,540636
tt0800080,movie,The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",6.6,540631
tt4425200,movie,John Wick: Chapter 2,2017,"Action,Crime,Thriller",7.4,536175
tt1477834,movie,Aquaman,2018,"Action,Adventure,Fantasy",6.8,535555
tt0449059,movie,Little Miss Sunshine,2006,"Comedy,Drama",7.8,534449
